Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum,Linkedin
WOCstar Fund,https://www.wocstar.com,"New York, US",USA,"3. Early Revenue,4. Scaling","We invest in companies and technology that are redefining how we will Consume, Work & Learn, Build Wealth, & Create a Sustainable World.",VC,"$200,000","$2,000,000",https://www.linkedin.com/company/wocstarfund/
World Fund,https://www.worldfund.vc/,"Gerichtstraße 23 (Hof 4) 13347 Berlin, Deutschland","UK,Spain,France,Germany,Israel,Portugal,Sweden,Switzerland,Finland,Norway,Italy,Ireland,Poland,Latvia,Estonia,Romania,Greece","2. Prototype,3. Early Revenue,4. Scaling,5. Growth",We invest in climate tech with a focus on Europe & Israel.,VC,"$200,000","$10,000,000",https://www.linkedin.com/company/worldfund/
XAnge,https://www.xange.fr/,"27, rue Marbeuf, Paris, France","France,Germany,Belgium,Luxembourg,Switzerland,Austria","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in digital, deeptech & impact startups based in France or Germany in pre-seed, seed & serie A stages ",VC,"$400,000","$10,000,000",https://www.linkedin.com/company/xange-private-equity
XRC Labs,https://www.xrclabs.com/,"68 5th Ave, Fl 3 New York, NY 10011 ",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in retail technology, supply chain technology & Consumer goods including consumer health from pre-seed to Series A. ",VC,"$135,000","$2,000,000",https://www.linkedin.com/company/xrclabs/
Yara Ventures,https://yara.vc,"Unit 4a, Avonbeg Industrial Estate. Long Mile Road. Dublin 12. Ireland","Spain,USA,Israel","3. Early Revenue,4. Scaling","We invest in startups with tech focus, mainly DeepTech and FoodTech. Seed / early stage.",VC,"$10,000","$250,000",https://www.linkedin.com/company/yaraventures/
Yellowdog,http://www.yellowdog.kr/,"4F, 21, Wangsimni-ro 6-gil, Seongdong-gu, Seoul, Korea  ","South Korea,USA,Singapore,Vietnam","3. Early Revenue,4. Scaling","We invest in startups, from Pre-series A to series B, which have innovative potentials in four key impact domains - (1) climate solutions, (2) wellness and healthcare solutions, (3) education solutions, and (4) workstyle solutions. ",VC,"$500,000","$5,000,000",https://www.linkedin.com/company/yellowdogivc
YYM Ventures,http://www.yemin-family.com,"Nashville, Tennessee, USA",Israel,"2. Prototype,3. Early Revenue",We invest in early-stage cybersecurity startups  ,Family office,"$200,000","$2,000,000",https://www.linkedin.com/company/yym-ventures/
Zane Venture Fund,https://zane.vc,"2275 N Marietta Street NW, Suite 270-184, Atlanta, GA 30318",USA,3. Early Revenue,"We invest in diverse entrepreneurs and teams who are building tech-enabled solutions primarily here in the southeast, opportunistically across the US.",VC,"$100,000","$500,000",https://www.linkedin.com/company/zane-venture-fund/
42CAP,https://www.42cap.com/,"Seitzstr. 23, 80538 München, Germany","Germany,France,Spain,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Greece,Georgia,Finland,Estonia,Denmark,Hungary,Iceland,Ireland,Italy,Liechtenstein,Luxembourg,Latvia,Lithuania,Malta,Monaco,Bosnia-H,Ukraine,UK,Switzerland,Sweden,Portugal,Netherlands,Poland,Serbia,Norway,Romania,Slovenia,Slovakia,Turkey","3. Early Revenue,2. Prototype",We invest in seed-stage tech- and data-driven B2B software companies across Europe with global ambition. ,VC,"$500,000","$2,000,000",https://www.linkedin.com/company/42cap/
IQ Capital,https://iqcapital.vc/,"95 Regent Street Cambridge, CB2 1AW, United Kingdom",UK,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early-stage deeptech businesses which use hard-to-replicate technology in massive global markets – across sectors including software, hardware, materials, health tech and life sciences.",VC,"$700,000","$14,000,000",https://www.linkedin.com/company/iq-capital-partners
Banana Capital,https://www.bananacapital.vc/,"Ann Arbor, MI, USA","USA,Canada,UK,France,Germany,Mexico,Nigeria,Kenya,Egypt,India,""Eswatini (fmr. """"Swaziland"""")"",Indonesia,Thailand,Vietnam,South Korea,Japan,Brazil,Argentina,Colombia,Peru","2. Prototype,1. Idea or Patent,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in consumer and bottoms-up enterprise products,VC,"$25,000","$300,000",https://www.linkedin.com/company/banana-capital
Stadia Ventures,http://www.stadiaventures.com/,"383 Marshall Avenue, St. Louis, MO 63122, United States","Australia,Canada,India,Israel,New Zealand,South Africa,UK,USA","3. Early Revenue,4. Scaling","We invest in early-stage startups in sports and esports that have defined product market fit, generally with ARR between $250k-$1MM. ",VC,"$50,000","$250,000",https://www.linkedin.com/company/stadia-ventures/
GPI Global Partners Investments,https://www.gpiuk.com/,"E16 2DQ, London, UK","Algeria,Argentina,Australia,Austria,Bahamas,Bahrain,Bangladesh,Barbados,Belgium,Brazil,Bulgaria,Canada,Chile,China,Croatia,Cyprus,Denmark,Egypt,Estonia,Finland,Germany,Greece,Hong Kong,India,Ireland,Japan,Italy,Kuwait,Lebanon,Liechtenstein,Luxembourg,Mexico,Morocco,Netherlands,New Zealand,Norway,Oman,Pakistan,Palestine,Philippines,Portugal,Saudi Arabia,Singapore,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Trinidad and Tobago,Tunisia,Turkey,UK,Ukraine,UAE,USA,Vietnam","1. Idea or Patent,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO,2. Prototype","We invest in startups and established businesses in a sector-agnostic mandate and bring it under our strict due diligence to our pool of sovereigns, institutional, funds, and individual investors. Ticket size varies according to the stage of the startup or the opportunity and we structure equity investment deals.",Other,"$5,000","$30,000,000",https://www.linkedin.com/company/gpiuk/
Unrest,https://www.unrest.world,"154 Clerkenwell Rd, London EC1R 5AB","Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Benin,Belize,Bhutan,Bolivia,Bosnia-H,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,UK,Ukraine,UAE,Uruguay,USA,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in impact-driven businesses with global ambitions, who are on a mission to change the world for the better. ","Incubator, Accelerator","$20,000","$40,000",https://www.linkedin.com/company/unrest-group/
Capital Nature,https://www.capitalnature.com/,"Derech Menachem Begin 150, Tel-Aviv, IL",Israel,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in energy, infrastructure and environment-related startups ",VC,"$300,000","$2,000,000",https://www.linkedin.com/company/capital-nature/
Nina Capital,https://www.nina.capital/,"Carrer de Tuset 20, 5, 08006 Barcelona Spain","Spain,Italy,Germany,France,UK,Portugal,Poland,Sweden,Norway,Ireland,Finland,Austria,Belgium,Switzerland,Denmark,Netherlands,USA,Canada,Israel","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in need-driven founders building health technology companies at seed stage.,VC,"$150,000","$750,000",https://www.linkedin.com/company/ninacapital/
Datainsight,https://github.com/datainsightio/home,"London, UK",UK,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in startups that are helping companies realise the value in automation.,Angel network,"$15,000","$100,000",
Pembroke VCT,https://www.pembrokevct.com/,"3 Cadogan Gate, Chelsea, London, SW1x 0AS",UK,"4. Scaling,5. Growth",We invest in UK-based consumer brands with £1m in annualised revenue,VC,"$1,000,000","$3,000,000",https://www.linkedin.com/company/pembroke-vct/
Otium Capital,https://www.otiumcapital.com/,"5 rue Saint Joseph, 75002, Paris, France","France,Spain,USA,Germany,Belgium,Italy,UK","3. Early Revenue,2. Prototype,4. Scaling,5. Growth","We invest in ambitious founders across EU/US from Pre-Seed to LBO with specialisation in Marketplaces, SaaS, Hospitality, Gaming and entertainment industries.",Family office,"$500,000","$5,000,000",https://www.linkedin.com/company/otium-capital/
Goldsmith Ventures,https://www.goldsmithventures.com/,London,UK,"3. Early Revenue,4. Scaling","We invest in FinTech, PropTech and InsurTech UK companies. ",VC,"$800,000","$1,200,000",https://www.linkedin.com/company/goldsmith-ventures/
Oxx Ventures,https://www.oxx.vc/,"20 North Audley Street, London, England W1K 6WE, GB","Israel,UK,Sweden,Finland,Denmark,Norway","3. Early Revenue,4. Scaling",We invest in EU-based B2B software companies with potential to significantly scale,VC,"$5,000,000","$15,000,000",https://www.linkedin.com/company/oxx-vc/
AdTay Ventures,https://www.adtayventures.com/,"21 West Hampstead Mews, London, NW6 3BB, United Kingdom","UK,Israel","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in Seed to late stage startups across Europe and Israel,VC,"$100,000","$10,000,000",https://www.linkedin.com/company/adtay-ventures/
Outlier Ventures,http://www.outlierventures.io/,"82 Clerkenwell Road, London, England EC1M 5RJ, GB","UK,USA,Australia,Germany,Sweden,Finland,Bulgaria,Serbia,Spain,India,New Zealand,Canada,Argentina,Andorra,Austria,Belgium,Brazil,France,Mexico,China,Singapore,Japan,Ireland,Italy,Greece,Switzerland,Croatia,Denmark,Czech Republic,Cyprus,Estonia,Holy See,Iceland,Israel,Hungary,Liechtenstein,Lithuania,Latvia,Luxembourg,Malta,Monaco,Norway,Netherlands,Portugal,Russia,Poland,Ukraine,San Marino,Romania","2. Prototype,3. Early Revenue",We invest in Global Web 3 and blockchain startups building the Metaverse = DeFi + NFT + New Data at stages ranging from single founder+prototype in the works to more developed teams looking to decentralise centralised propositions and everything in-between. We are looking at everything from ledgers to storage to middleware to protocols to dev tools to apps.,"Incubator, Accelerator","$50,000","$100,000",https://www.linkedin.com/company/outlierventures
XY Ventures,https://www.xyventures.vc/,"Valhallavägen 160, Stockholm, Sweden","Sweden,USA","3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent","We invest in software startups. 

We leverage deal flow from our angel network and venture partners in the Bay Area, targeting companies with a Nordic heritage and follow-up investments in accelerator graduates from Techstars, Y-Combinator, Founder Institute, Singularity University, among others, which has previously generated 10x+ in returns.",VC,"$250,000","$1,000,000",https://www.linkedin.com/company/xyventures
River Venture Partners,https://www.rivervp.com/,"TNW City, Singel 542, 1017AZ, Amsterdam, The Netherlands","Netherlands,Belgium,Finland,Denmark,Sweden,Lithuania,Estonia,Latvia,Norway","2. Prototype,3. Early Revenue,4. Scaling","We invest in B2B software companies with initial commercial traction in Benelux, Nordics and Baltics",Angel network,"$50,000","$250,000",www.linkedin.com/company/river-venture-partners
Expa,https://www.expa.com/,"660 4th Street Suite 193 San Francisco, CA 94107","USA,UK,Sweden,Germany,Spain,Portugal,France,Canada,Mexico,Netherlands,Estonia,Ireland,Belgium,Austria,Croatia,Denmark,Norway,Italy,Brazil,Latvia,Finland,Lithuania,Luxembourg,Switzerland,Ukraine,Poland,Romania","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in North America, UK, EU-based marketplaces, SaaS, ML, fintech, proptech, digital health, logistics, mobility, industry 4.0, cybersecurity, developer tools, ecommerce, climatetech, biotech. B2B and B2C. ",VC,"$250,000","$4,000,000",https://www.linkedin.com/company/expa/
Talis Capital,https://www.taliscapital.com,UK,"USA,UK,Germany,Spain,France,Norway,Denmark","3. Early Revenue,4. Scaling","We invest in tech founders who have seen a future others haven’t - and have the dedication, determination and drive to deliver it. Visionary thinking isn’t limited by sectors, markets, or verticals; so nor are we. 

More info about our thesis can be found here: https://medium.com/talis-capital/talis-capital-what-were-looking-for-in-2021-9b827a47aac2",VC,"$1,000,000","$10,000,000",https://www.linkedin.com/company/talis-capital-limited/
Accion Venture Lab,https://www.accion.org/how-we-work/invest/accion-venture-lab,"1101 15th St., NW, Suite 400, Washington, D.C., 20005, US","Argentina,Brazil,USA,UAE,UK,Poland,Colombia,Chile,Egypt,India,Indonesia,Kenya,Mexico,Nigeria,Pakistan,Peru,South Africa,Philippines","3. Early Revenue,4. Scaling","We invest in innovative, scalable fintech startups that improve the reach, quality, and affordability of financial services for the underserved.",VC,"$250,000","$500,000",https://www.linkedin.com/company/accion/
Praetura Ventures,https://www.praeturaventures.com/,"Manchester, UK",UK,"3. Early Revenue,4. Scaling,5. Growth","We invest in UK based early stage businesses across a range of sectors, including MedTech, Energy, FinTech, Artificial Intelligence, HR and Retail. We favour B2B business models with recurring revenue streams. We consider businesses across a range of maturities, however, companies must be able to demonstrate some degree of commercial traction and revenue generation. Importantly, we assess where we can provide an investment opportunity with ""more than money"" through our experience and network.",VC,"$1,000,000","$3,500,000",https://www.linkedin.com/company/praeturaventures/
Saison Capital,https://saisoncapital.com/,"Singapore, Singapore 018960, SG","Singapore,India,Indonesia,Vietnam,Philippines","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in Fintech and Consumer,Corporate VC,"$100,000","$3,000,000",https://www.linkedin.com/company/saisoncapital?originalSubdomain=sg
D2 Double Down,https://d2.fund/,"London, UK","UK,Germany,France,Belgium,Spain,Italy,Ireland,Switzerland,Portugal,Norway,Sweden,Turkey","2. Prototype,3. Early Revenue","We invest in founders who want to build profitable tech or tech enabled businesses. We are sector agnostic but prefer high margin products sold on a recurring basis by remote first teams.

Double Down is a different type of venture fund. We back real businesses at the early stage.

As a fund, we seek equity efficient ‘default alive’ technology and technology enabled start-ups that focus on revenue, unit economics and profitability instead of just meaningless paper valuations, headcount and ‘the next round’.

We value start-ups with sustainable business models, not just believable financial models. We like companies that want to stay in business, not run for the exit. We believe these businesses are the future of technology entrepreneurship.",VC,"$100,000","$750,000",https://www.linkedin.com/company/notyourordinaryvc/
SeedReady,https://www.seedready.org,"London, UK",UK,1. Idea or Patent,We invest in ambitious founders at idea stage,"Incubator, Accelerator",$0,"$10,000",https://www.linkedin.com/company/getseedready
Illumina Ventures,https://www.illuminaventures.com/,"Foster City, California, United States","USA,UK,France,Ireland","3. Early Revenue,2. Prototype","We invest globally in pioneering companies in genomics and precision health, in markets such as life science tools, clinical diagnostics, therapeutics, digital health, and other areas impacted by genomics. ",VC,"$500,000","$10,000,000",https://www.linkedin.com/company/illumina-ventures/
Zanichelli Venture,https://www.zanichelliventure.it/,"Via Irnerio 28, 40126 Bologna, Italy","UK,France,Germany,Spain,USA,Israel,Finland,Canada,Sweden,Norway,Poland,Italy,Romania,Austria,Belgium,Ireland,Luxembourg,Portugal,Czech Republic,Slovakia,Hungary","3. Early Revenue,4. Scaling",We invest in global edtech companies building tools that can act as radical power-ups of the learner’s experience while slipping seamlessly into the current education system; or creating alternatives to the current education system with the potential to move from niche to dominant. ,Corporate VC,"$50,000","$1,000,000",https://www.linkedin.com/company/zanichelli-venture/
Concentric,https://concentricteam.com/,"Ingestre Court, London, England W1F 0JL, GB","UK,Germany,Norway,Sweden,France,Denmark,Finland,Estonia,Romania,Lithuania,Ireland,Netherlands,Belgium,Switzerland,Austria,Poland","3. Early Revenue,4. Scaling","We invest in post-product market fit software businesses disrupting traditional sectors across Europe. Experience predominantly in Fintech & Insurtech, Proptech, Logistics, and Mobility.",VC,"$500,000","$5,000,000",https://www.linkedin.com/company/concentric-ventures/
Great Stuff Ventures,http://greatstuffventures.com/,"Amsterdam, Netherlands","Netherlands,USA,UK,Germany,Portugal,Greece,Spain,Czech Republic,Colombia,Brazil","2. Prototype,3. Early Revenue",We invest in great people doing great stuff. Sector-agnostic.,Angel network,"$50,000","$75,000",https://www.linkedin.com/company/great-stuff-ventures
Conscience,https://conscience.vc,"Alpha Theta, Los Angeles, CA 91403, US","USA,Canada","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in pre-seed and seed stage consumer companies embracing deep tech and data (at the intersection of consumer and science).,VC,"$100,000","$250,000",https://www.linkedin.com/company/conscience-vc
Drive Capital,https://www.drivecapital.com/,"629 N High St, Columbus, OH 43215, United States","USA,Canada,Armenia","6. Pre-IPO,5. Growth,4. Scaling,3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in market-defining companies in categories we understand deeply. We’re stage-agnostic, preferring strongly to journey with our portfolio companies from start to finish.",VC,"$250,000","$75,000,000",https://www.linkedin.com/company/drivecapital
Starlight Ventures,https://starlight.vc,"2666 Brickell Avenue Miami FL 33129, USA","UK,USA,Canada,Mexico,Brazil,Argentina,Chile,Colombia,Germany,Spain,Italy,France,Israel","2. Prototype,3. Early Revenue,1. Idea or Patent",We invest in early stage startups using transformative technologies to address humanity’s biggest challenges,VC,"$100,000","$3,000,000",https://www.linkedin.com/company/starlightventures
Avalanche VC,Https://avalanche.vc,"2105 5th Ave, Seattle, WA 98121","USA,UK","3. Early Revenue,2. Prototype","We invest in pre-seed and seed stage technology companies transforming how people work, learn, and live",VC,"$25,000","$50,000",https://www.linkedin.com/company/avalanche-vc/
January Ventures,https://www.january.ventures/,"396 Washington Street, Suite 197 Wellesley Hills, MA 02481","USA,UK,Germany,France,Netherlands,Sweden","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest at pre-seed/seed in software startups in the US or Europe. We focus on B2B startups, primarily in future of work, fintech, digital health. Underrepresented founders wanted. Not afraid to be first money in. ",VC,"$150,000","$500,000",https://www.linkedin.com/company/january-ventures
Finclusive Ventures,https://www.finclusive.vc/,"11280 NW 51 Terrace, Miami FL 33178","USA,Australia,Malaysia,Canada,Vietnam,Philippines,Indonesia","3. Early Revenue,2. Prototype,1. Idea or Patent,4. Scaling","We invest in early-stage startups with overlooked founders in humanity-focused sectors (primarily) Fintech, ClimateTech, and future of work/education. We are geographically agnostic. Pre-seed to series A.",VC,"$100,000","$250,000",https://www.linkedin.com/company/finclusivevc
Innsaei Capital,http://innsaei.capital/,"33 Cavendish Square, London, England, W1G 0PW","UK,USA,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Russia,Ukraine,Moldova,Belarus","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in the Future of Living (Robotics in Construction/PropTech, Smart Homes, Smart Cities), Future of Consumption (Wellness, FemTech, Plant-Based Food & Medicine, Sustainable Beauty & Fashion) and Future of Communication (Cybersecurity, Defence, Satellites & Space, SaaS) through an alternative financing option which provides non-dilutive capital to early and growth-stage startups.",VC,"$100,000","$2,000,000",https://www.linkedin.com/company/innsaeiventures/
NFP Ventures,https://www.nfpvf.com,"New York, New York, United States",USA,"3. Early Revenue,4. Scaling,2. Prototype","We invest in B2C/ B2B2C Fintech, Insurtech and Digital Health startups who can benefit from NFP's distribution. ",VC,"$500,000","$3,000,000",https://www.linkedin.com/company/nfp-ventures/
Hannah Grey VC,https://www.hannahgrey.com/,"New York, NY, USA",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in customer-centric founders reimagining everyday experiences to improve work and life. This primarily includes sectors such as Future of Work, Commerce, Education, Fintech, Wellness, Consumer, Enterprise SaaS, and Marketplaces.",VC,"$300,000","$750,000",https://www.linkedin.com/company/hannah-grey/
Concrete Ventures,https://www.concretevc.com/,"4-5 Bonhill St, EC2A 4BX, United Kingdom","UK,France,Germany,Spain,Italy,USA,Poland,Finland,Sweden,Norway,Iceland,Ireland,Hungary,Portugal,Netherlands,Belgium,Estonia,Switzerland,Austria,Croatia,Luxembourg","3. Early Revenue,4. Scaling,5. Growth",We invest in European-based companies innovating the built environment. We are looking at proptech companies that are solving Real Estate pain points. ,Corporate VC,"$100,000","$4,000,000",https://www.linkedin.com/company/concrete-vc/
IOVC,https://www.iovc.io/,"414 Brannan St, San Francisco, CA 94107, United States",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in US-based enterprise/SaaS startups with early MRR/ARR,VC,"$10,000","$300,000",https://www.linkedin.com/company/iovc/
Bloc Ventures,https://www.blocventures.com/,London,"Belgium,Finland,France,Germany,Netherlands,Norway,Spain,Sweden,UK,Israel","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We invest in ambitious entrepreneurs building products across cloud, connectivity, data science and security with the potential to impact whole industries. That includes AI, machine learning, cloud computing, cybersecurity, HPC, IoT, quantum computing and wireless connectivity / networking to name a few areas.",VC,"$200,000","$6,000,000",https://www.linkedin.com/company/bloc-ventures
End Poverty. Make Trillions.,https://endpovertymaketrillions.com,"Los Angeles, US",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in businesses solving social problems. If you want to make the world a better place, let’s talk. ",VC,"$10,000","$10,000,000",https://www.linkedin.com/company/end-poverty-make-trillions
WXR Fund,https://www.wxrfund.com/,"600 California St., San Francisco, CA 94108","USA,Canada","2. Prototype,3. Early Revenue,4. Scaling",We invest in North American women-led and gender diverse spatial computing companies (AR/VR/AI) at the pre-seed and seed stage.,VC,"$150,000","$300,000",https://www.linkedin.com/company/wxrfund
Haatch,https://haatch.com/,"Blackfriars Street, Stamford, Lincolnshire PE9 2BW, GB",UK,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in digital and software start-ups through all sectors and models with a mandate from our SEIS and EIS funds. Companies must be able to demonstrate early traction and proof points.,VC,"$150,000","$800,000",https://www.linkedin.com/company/haatch/
Harlem Capital,https://harlem.capital/,"New York, New York 10036, US",USA,"2. Prototype,3. Early Revenue",We invest in diverse or women-led seed stage enterprise or consumer tech startups ,VC,"$750,000","$2,000,000",https://www.linkedin.com/company/harlemcapital/
Allegory Capital,https://www.allegory.capital/,Grand rue 29 1110 morges CH-Vaud,"Switzerland,USA,France,Germany,Algeria,Ukraine,Netherlands,Belgium,Denmark","3. Early Revenue,2. Prototype,1. Idea or Patent,4. Scaling",We invest in startups within regulated industries with a strong commercial acumen,VC,"$100,000","$800,000",https://www.linkedin.com/company/allegory-capital
BBG Ventures,https://www.bbgventures.com/,"29 Little West 12th Street, New York, NY 10014, US",USA,"2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in companies with at least one female founder. We look for B2C or B2B companies reshaping the lives of millions. We're currently most excited by broken systems in big areas of the consumer economy such as health & wellbeing, future of work and education, climate-friendly consumption, overlooked consumer - but a great female founder always wins.",VC,"$500,000","$1,000,000",https://www.linkedin.com/company/bbg-ventures
TVC The Venture Collective,https://www.theventurecollective.com/,"201 E 21st Street, New York, NY 10010","USA,UK,Germany","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in defensible, purpose-driven companies within our key thematic areas of interest: world preservation, human empowerment, and life improvement, and focus on entering at the pre-seed and seed, with a healthy follow-on reserve for the Series A, ensuring we build meaningful ownership early, and demonstrate deep value to justify increasing that ownership over time.",VC,"$100,000","$750,000",https://www.linkedin.com/company/hellotvc/
Remote First Capital,https://www.remotefirstcapital.com/,"San Francisco, USA","Afghanistan,Albania,Algeria,Andorra,Angola,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Azerbaijan,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brazil,Brunei,Belgium,Bulgaria,Burundi,Cabo Verde,Cambodia,Burkina Faso,Cameroon,Canada,Central African Republic,Chad,China,Chile,Comoros,Congo (Congo-Brazzaville),Colombia,Costa Rica,Croatia,Cuba,Côte d'Ivoire,Cyprus,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Czech Republic,Holy See,Antigua and Barbuda,Argentina,Hungary,Hong Kong,Iceland,Indonesia,India,Iraq,Iran,Ireland,Italy,Israel,Jamaica,Jordan,Kazakhstan,Kenya,Japan,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lesotho,Liberia,Liechtenstein,Lithuania,Lebanon,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Malta,Mali,Marshall Islands,Mauritius,Mauritania,Mexico,Micronesia,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Monaco,New Zealand,Netherlands,Nicaragua,Niger,Nigeria,North Korea,Norway,Oman,Pakistan,Palau,North Macedonia,Palestine,Panama,Paraguay,Peru,Philippines,Papua New Guinea,Poland,Qatar,Romania,Russia,Rwanda,Portugal,Samoa,Saint Vincent and the Grenadines,San Marino,Sant Lucia,Sant Kitts and Nevis,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Singapore,Sierra Leone,Slovenia,Slovakia,Somalia,Solomon Islands,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Suriname,Sudan,Sweden,Switzerland,Syria,Tajikistan,Tanzania,Thailand,Timor-Leste,Taiwan,Togo,Tonga,Tunisia,Trinidad and Tobago,Turkey,Tuvalu,Turkmenistan,Uganda,UK,UAE,Ukraine,Uruguay,USA,Uzbekistan,Vanuatu,Vietnam,Venezuela,Yemen,Zambia,Zimbabwe,Armenia,Australia,Austria,Honduras,Haiti","2. Prototype,3. Early Revenue,1. Idea or Patent,4. Scaling","We invest in the next generation of remote work, global work infrastructure, and second-degree effects of it.

Also engineering and no-code tooling",VC,"$50,000","$200,000",https://www.linkedin.com/in/andreasklinger/
Countdown Capital,https://www.countdown.capital/,"Columbia, MO 65201, USA",USA,"1. Idea or Patent,2. Prototype",We invest in hard tech founders committed to philosophical thinking at pre-seed stage or earlier.,VC,"$50,000","$250,000",https://www.linkedin.com/company/countdown-capital/
Operator Collective,https://operatorcollective.com/,"PO Box 620733, Woodside, CA 94062","USA,Israel,Mexico,Canada,France","3. Early Revenue,4. Scaling,5. Growth,2. Prototype",We invest in early-stage enterprise SaaS companies with established product-market fit.,VC,"$50,000","$1,000,000",https://www.linkedin.com/company/operator-collective/
